dataset,problem,file,lines,before,after
all_py,2014,703452.py,8,441,11
all_py,2014,703730.py,10,484,13
all_py,2014,701805.py,11,623,15
all_py,2014,701256.py,13,663,18
all_py,2014,704769.py,19,979,20
all_py,2015,766779.py,22,999,29
all_py,2015,707258.py,31,1088,46
all_py,2029,705463.py,37,2459,52
all_py,2030,798692.py,10,357,11
all_py,2030,711385.py,8,431,13
all_py,2037,713922.py,29,1218,34
all_py,2062,697206.py,33,814,24
all_py,2062,713131.py,16,821,25
all_py,2062,714755.py,19,850,28
all_py,2092,781661.py,47,2520,55
all_py,2094,781660.py,50,1781,56
all_py,2112,747759.py,14,1040,20
all_py,2112,748041.py,25,1103,31
all_py,2112,747665.py,25,1199,33
all_py,2112,748075.py,21,1422,29
all_py,2112,748324.py,42,1839,43
all_py,2114,705283.py,9,426,14
all_py,2114,706199.py,11,512,16
all_py,2114,777993.py,12,546,18
all_py,2114,777836.py,18,629,24
all_py,2114,707401.py,27,1100,38
all_py,2135,783502.py,24,1071,34
all_py,2135,797123.py,26,1098,37
all_py,2135,797127.py,28,1211,40
all_py,2135,797126.py,33,1299,42
all_py,2135,783428.py,35,1512,47
all_py,2136,783460.py,25,1272,35
all_py,2136,783408.py,27,1272,35
all_py,2136,783547.py,41,1757,52
all_py,2136,783324.py,43,1908,55
all_py,2136,801258.py,46,2023,46
all_py,2143,702018.py,3,422,4
all_py,2143,701541.py,5,413,6
all_py,2143,701348.py,5,462,6
all_py,2143,701932.py,6,508,7
all_py,2143,695218.py,18,1002,23
all_py,2146,739287.py,17,494,14
all_py,2146,736120.py,17,685,21
all_py,2146,740134.py,13,799,21
all_py,2146,741265.py,22,997,34
all_py,2146,722069.py,73,1789,64
all_py,2147,682639.py,30,1256,38
all_py,2147,786893.py,21,1317,32
all_py,2147,683801.py,31,1481,45
all_py,2147,713584.py,41,1835,58
all_py,2148,722230.py,6,634,10
all_py,2148,775833.py,12,803,16
all_py,2148,722028.py,20,869,23
all_py,2148,775535.py,30,1102,32
all_py,2148,775784.py,42,1876,37
all_py,2149,779235.py,7,429,11
all_py,2149,721458.py,19,605,22
all_py,2149,721495.py,15,666,21
all_py,2149,779402.py,22,813,22
all_py,2149,767167.py,28,1138,36
all_py,2150,711513.py,7,587,13
all_py,2150,711452.py,11,888,19
all_py,2150,711649.py,19,964,26
all_py,2150,711659.py,21,1135,25
all_py,2150,711667.py,42,1503,42
all_py,2175,697230.py,10,556,14
all_py,2175,713566.py,17,747,26
all_py,2176,707659.py,5,475,7
all_py,2176,781665.py,8,697,14
all_py,2177,774240.py,20,851,20
all_py,2177,724496.py,25,1588,40
all_py,2178,704351.py,6,397,10
all_py,2178,773211.py,9,504,12
all_py,2178,772820.py,10,564,16
all_py,2178,705898.py,16,727,22
all_py,2178,773983.py,38,1634,40
all_py,2207,767815.py,4,400,5
all_py,2207,768115.py,5,416,6
all_py,2207,767736.py,6,458,7
all_py,2207,768181.py,6,433,7
all_py,2207,768196.py,15,1185,20
all_py,2208,696015.py,3,197,4
all_py,2209,798817.py,5,388,6
